,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
89,-0.1,-1,-1,1697637923,False,1,ae2252ef,2023-10-18_14-05-23,1.4962058067321777,1.4962058067321777,14063,ff5996df3739,172.17.0.2,1.4962058067321777,1,,128,5,11,26,94,2.1891408960941474e-05,4.145860987063209e-06,ae2252ef
90,-0.1,-1,-1,1697637927,False,1,df1fc1c7,2023-10-18_14-05-27,1.7170045375823975,1.7170045375823975,14063,ff5996df3739,172.17.0.2,1.7170045375823975,1,,128,7,18,40,356,9.281189712991429e-05,5.036955830944161e-06,df1fc1c7
91,-0.1,-1,-1,1697637928,False,1,5c3326fe,2023-10-18_14-05-28,1.6142692565917969,1.6142692565917969,14063,ff5996df3739,172.17.0.2,1.6142692565917969,1,,128,8,15,68,332,1.9182549201058133e-05,5.222606119852531e-06,5c3326fe
92,0.5976190476190476,-1,-1,1697638210,False,1,9e67d81e,2023-10-18_14-10-10,280.39006996154785,280.39006996154785,14063,ff5996df3739,172.17.0.2,280.39006996154785,1,,32,2,10,42,236,0.00010706298916671245,6.467184491176889e-07,9e67d81e
93,-0.1,-1,-1,1697637939,False,1,109225c8,2023-10-18_14-05-39,2.310295820236206,2.310295820236206,14672,ff5996df3739,172.17.0.2,2.310295820236206,1,,32,3,9,71,197,3.133745344279906e-05,8.530848261686968e-07,109225c8
94,-0.1,-1,-1,1697637940,False,1,4fc3110d,2023-10-18_14-05-40,1.473127841949463,1.473127841949463,14672,ff5996df3739,172.17.0.2,1.473127841949463,1,,32,3,12,346,222,5.799333909350736e-05,1.6062389744623742e-06,4fc3110d
95,-0.1,-1,-1,1697637943,False,1,64ef9ee6,2023-10-18_14-05-43,1.5579166412353516,1.5579166412353516,14672,ff5996df3739,172.17.0.2,1.5579166412353516,1,,32,3,12,102,190,3.349484686350287e-05,2.023610400346621e-06,64ef9ee6
96,0.5978571428571428,-1,-1,1697638363,False,1,c93ba85a,2023-10-18_14-12-43,420.49594140052795,420.49594140052795,14672,ff5996df3739,172.17.0.2,420.49594140052795,1,,32,2,11,390,211,4.231244541674278e-05,3.6883791469145517e-06,c93ba85a
97,-0.1,-1,-1,1697637954,False,1,baab7d61,2023-10-18_14-05-54,1.596540927886963,1.596540927886963,14769,ff5996df3739,172.17.0.2,1.596540927886963,1,,32,4,11,22,281,4.518680274781537e-05,6.721895241077636e-09,baab7d61
98,-0.1,-1,-1,1697637956,False,1,d4cb1d15,2023-10-18_14-05-56,2.19036865234375,2.19036865234375,14769,ff5996df3739,172.17.0.2,2.19036865234375,1,,32,4,13,343,274,6.816762251682228e-05,3.197290520265217e-06,d4cb1d15
99,-0.1,-1,-1,1697637958,False,1,7a4685d9,2023-10-18_14-05-58,1.4650850296020508,1.4650850296020508,14769,ff5996df3739,172.17.0.2,1.4650850296020508,1,,32,5,9,33,314,1.5813704286771615e-05,2.3295888492339177e-06,7a4685d9
100,-0.1,-1,-1,1697637959,False,1,b5ef2ea0,2023-10-18_14-05-59,1.5647037029266357,1.5647037029266357,14769,ff5996df3739,172.17.0.2,1.5647037029266357,1,,256,4,15,78,49,2.7479419865347946e-05,7.1185756659344375e-06,b5ef2ea0
101,-0.1,-1,-1,1697637961,False,1,b23e166d,2023-10-18_14-06-01,1.4801819324493408,1.4801819324493408,14769,ff5996df3739,172.17.0.2,1.4801819324493408,1,,256,4,17,91,21,2.581919034295077e-05,6.528556227908799e-06,b23e166d
